Country Name;Country Code;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Timor-Leste;TLS;3745031233,40;4164913918,53;4334794317,48;4544057140,38;5927904534,78;8131467055,83;9214418303,23;7843625021,66;6653072513,86;6664784682,19
Barbados;BRB;4967346924,58;5036587066,92;5014752559,24;5207517102,66;5275547370,24;4457727484,35;4425161020,07;5586046010,37;6023965379,53;6404076764,65
Belize;BLZ;3398772050,20;3428786070,74;3404254285,09;3622682735,49;4063289991,48;3758836239,11;4616637500,27;5423194808,07;5682898282,44;6294776296,62
Andorra;AND;3661620791,67;3833543204,91;3915698820,58;4152298789,84;4395348448,44;4031176207,57;4649508748,84;5457407403,47;5799854946,97;6140390670,09
Cabo Verde;CPV;3470693995,24;3767658154,17;4070196657,81;4064409366,40;4444817983,53;3526877323,02;3970664151,46;4927702546,11;5380239592,52;5911044392,74
St. Lucia;LCA;2510450378,67;2688565160,90;2844567883,77;3085990648,94;3324021510,09;2658092445,89;3409978230,91;4397900557,97;4656839898,51;4955061818,05
Seychelles;SYC;2376133656,96;2727776636,94;2939950358,57;3105218260,85;3340635866,26;3057830378,36;2975737695,03;3593088408,94;3806479822,17;4033634641,49
Comoros;COM;2143329245,54;2328363278,33;2532916585,08;2549756539,99;2605735931,67;2616330804,02;2821917777,55;3108308931,75;3318845023,62;3514286024,88
Antigua and Barbuda;ATG;1876287100,28;1918178442,05;1938005691,20;2229888663,56;2425768090,57;2054603457,84;2377570792,26;2779062289,10;2948949156,32;3150959938,89
Grenada;GRD;1515375642,69;1609230218,34;1736355201,91;1848147434,93;1907436734,75;1670787843,20;1785107389,64;2052376386,20;2225731369,78;2363736937,20
Solomon Islands;SLB;1505046895,24;1603745490,75;1682669410,84;1768482075,11;1829103725,63;1790742946,55;1920525664,43;2106879008,44;2240672978,68;2353128856,82
St. Vincent and the Grenadines;VCT;1324041018,13;1435017818,66;1434420868,98;1541347208,56;1597875532,78;1587736725,01;1666116701,34;1840427498,44;2008208590,20;2140311608,06
Samoa;WSM;1146480554,16;1249779114,75;1290050365,21;1311559076,01;1392558354,39;1367201018,49;1328426324,85;1347620477,33;1524676297,76;1708678659,26
St. Kitts and Nevis;KNA;1265579265,23;1328207470,16;1391674596,20;1447606595,66;1525099297,08;1280771310,01;1257766533,81;1486796318,78;1606969716,58;1665025419,54
Dominica;DMA;851449231,90;901049875,84;869638618,01;1027375174,54;1087477952,76;962493750,74;1062394694,30;1256467931,15;1349220673,89;1410211841,81
Vanuatu;VUT;789213371,05;824371706,54;876162788,44;922227587,13;967833106,34;931732926,14;959152084,30;1080824944,57;1108914310,27;1180786247,77
